code,province,district,commune,village
01020101,Banteay Meanchey,Mongkol Borei,Banteay Neang,Ou Thum
01020102,Banteay Meanchey,Mongkol Borei,Banteay Neang,Phnum
01020103,Banteay Meanchey,Mongkol Borei,Banteay Neang,Banteay Neang
01020104,Banteay Meanchey,Mongkol Borei,Banteay Neang,Kouk Pnov
01020105,Banteay Meanchey,Mongkol Borei,Banteay Neang,Trang
01020106,Banteay Meanchey,Mongkol Borei,Banteay Neang,Pongro
01020107,Banteay Meanchey,Mongkol Borei,Banteay Neang,Kouk Tonloab
01020108,Banteay Meanchey,Mongkol Borei,Banteay Neang,Trabaek
01020109,Banteay Meanchey,Mongkol Borei,Banteay Neang,Khilek
01020110,Banteay Meanchey,Mongkol Borei,Banteay Neang,Samraong Pen
01020111,Banteay Meanchey,Mongkol Borei,Banteay Neang,Dang Run Lech
01020112,Banteay Meanchey,Mongkol Borei,Banteay Neang,Dang Run Kaeut
01020113,Banteay Meanchey,Mongkol Borei,Banteay Neang,Ou Snguot
01020114,Banteay Meanchey,Mongkol Borei,Banteay Neang,Prey Changha Lech
01020115,Banteay Meanchey,Mongkol Borei,Banteay Neang,Prey Changha Kaeut
01020116,Banteay Meanchey,Mongkol Borei,Banteay Neang,Ou Andoung Lech
01020117,Banteay Meanchey,Mongkol Borei,Banteay Neang,Ou Andoung Kandal
01020118,Banteay Meanchey,Mongkol Borei,Banteay Neang,Ou Andoung Kaeut
01020119,Banteay Meanchey,Mongkol Borei,Banteay Neang,Kouk Kduoch
01020201,Banteay Meanchey,Mongkol Borei,Bat Trang,Khtum Reay Lech
01020202,Banteay Meanchey,Mongkol Borei,Bat Trang,Khtum Reay Kaeut
01020203,Banteay Meanchey,Mongkol Borei,Bat Trang,Anlong Thngan Kaeut
01020204,Banteay Meanchey,Mongkol Borei,Bat Trang,Anlong Thngan Lech
01020205,Banteay Meanchey,Mongkol Borei,Bat Trang,Bang Bat Lech
01020206,Banteay Meanchey,Mongkol Borei,Bat Trang,Bang Bat Kaeut
01020207,Banteay Meanchey,Mongkol Borei,Bat Trang,Bat Trang
01020208,Banteay Meanchey,Mongkol Borei,Bat Trang,Bat Trang Thum Lech
01020209,Banteay Meanchey,Mongkol Borei,Bat Trang,Bat Trang Thum Kaeut
01020210,Banteay Meanchey,Mongkol Borei,Bat Trang,Bat Trang Touch
01020211,Banteay Meanchey,Mongkol Borei,Bat Trang,Preaek Chik
01020301,Banteay Meanchey,Mongkol Borei,Chamnaom,Pralay Char
01020302,Banteay Meanchey,Mongkol Borei,Chamnaom,Rongvean Lech
01020303,Banteay Meanchey,Mongkol Borei,Chamnaom,Rongvean Kaeut
01020304,Banteay Meanchey,Mongkol Borei,Chamnaom,Chamnaom Lech
01020305,Banteay Meanchey,Mongkol Borei,Chamnaom,Chamnaom Kaeut
01020306,Banteay Meanchey,Mongkol Borei,Chamnaom,Roung Kou Daeum
01020307,Banteay Meanchey,Mongkol Borei,Chamnaom,Roung Kou Kandal
01020308,Banteay Meanchey,Mongkol Borei,Chamnaom,Roung Kou Chong
01020309,Banteay Meanchey,Mongkol Borei,Chamnaom,Peam Roung Kou
01020310,Banteay Meanchey,Mongkol Borei,Chamnaom,Ta Sal
01020311,Banteay Meanchey,Mongkol Borei,Chamnaom,Chuor Khchas
01020312,Banteay Meanchey,Mongkol Borei,Chamnaom,Boeng Tras
01020313,Banteay Meanchey,Mongkol Borei,Chamnaom,Dang Trang
01020314,Banteay Meanchey,Mongkol Borei,Chamnaom,Srae Prey
01020315,Banteay Meanchey,Mongkol Borei,Chamnaom,Bos Tonloab
01020316,Banteay Meanchey,Mongkol Borei,Chamnaom,Ta  Bun
01020317,Banteay Meanchey,Mongkol Borei,Chamnaom,Kouk Ponley
01020318,Banteay Meanchey,Mongkol Borei,Chamnaom,Say Samon
01020401,Banteay Meanchey,Mongkol Borei,Kouk Ballangk,Kouk Ballangk
01020402,Banteay Meanchey,Mongkol Borei,Kouk Ballangk,Ta An
01020403,Banteay Meanchey,Mongkol Borei,Kouk Ballangk,Pralay Chrey
01020404,Banteay Meanchey,Mongkol Borei,Kouk Ballangk,Cheung Chab
01020405,Banteay Meanchey,Mongkol Borei,Kouk Ballangk,Phat Sandaong
01020406,Banteay Meanchey,Mongkol Borei,Kouk Ballangk,Char Thmei
01020407,Banteay Meanchey,Mongkol Borei,Kouk Ballangk,Ph'av Thmei
01020408,Banteay Meanchey,Mongkol Borei,Kouk Ballangk,Ta Sal
01020501,Banteay Meanchey,Mongkol Borei,Koy Maeng,Koy Maeng
